taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc,sourcePointCount
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2001.000000,0.263889,1.000000,19,72,72,72,0.011285,33
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2003.000000,0.416667,1.000000,30,72,72,72,0.011285,33
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2005.000000,0.569444,1.000000,41,72,72,72,0.011285,33
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2007.000000,0.736111,1.000000,53,72,72,72,0.011285,33
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2009.000000,0.916667,1.000000,66,72,72,72,0.011285,33
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2011.000000,0.972222,1.000000,70,72,72,72,0.011285,33
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2014.000000,1.000000,1.000000,72,72,72,72,0.011285,33
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,,0.000000,0.000000,0,0,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.974609,0.013889,0.000000,1,0,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.975586,0.027778,0.013889,2,1,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.976563,0.069444,0.041667,5,3,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.977539,0.083333,0.055556,6,4,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.979492,0.250000,0.208333,18,15,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.980469,0.305556,0.277778,22,20,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.981445,0.402778,0.500000,29,36,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.982422,0.486111,0.611111,35,44,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.983398,0.638889,0.708333,46,51,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.984375,0.722222,0.847222,52,61,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.985352,0.777778,0.958333,56,69,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.987305,0.875000,0.986111,63,71,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.988281,0.902778,0.986111,65,71,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.989258,0.986111,0.986111,71,71,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.990234,0.986111,1.000000,71,72,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,64,0.991211,1.000000,1.000000,72,72,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,,0.000000,0.000000,0,0,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.968750,0.041667,0.041667,3,3,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.969727,0.097222,0.166667,7,12,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.970215,0.125000,0.222222,9,16,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.970703,0.166667,0.263889,12,19,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.971680,0.319444,0.361111,23,26,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.972168,0.402778,0.513889,29,37,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.972656,0.472222,0.611111,34,44,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.973145,0.472222,0.666667,34,48,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.974121,0.694444,0.791667,50,57,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.974609,0.833333,0.847222,60,61,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.975098,0.861111,0.916667,62,66,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.976074,0.944444,0.944444,68,68,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.976563,0.972222,0.958333,70,69,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.977051,0.986111,0.972222,71,70,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,128,0.978027,1.000000,0.986111,72,71,72,72,0.422068,22
