taskFamilyId,seed,snrDb,windowLength,detectorId,auc
structured-burst-vs-noise-only,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.490885
structured-burst-vs-noise-only,86420,-3,128,cav,0.703993
structured-burst-vs-noise-only,86420,-3,128,ed,0.845052
structured-burst-vs-noise-only,86420,-3,128,lzmsa-paper,0.539063
structured-burst-vs-noise-only,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.469184
structured-burst-vs-noise-only,86420,0,64,cav,0.730903
structured-burst-vs-noise-only,86420,0,64,ed,0.533420
structured-burst-vs-noise-only,86420,0,64,lzmsa-paper,0.461372
structured-burst-vs-noise-only,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.347222
structured-burst-vs-noise-only,86420,0,128,cav,0.770399
structured-burst-vs-noise-only,86420,0,128,ed,0.619358
structured-burst-vs-noise-only,86420,0,128,lzmsa-paper,0.499132
structured-burst-vs-noise-only,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.518663
structured-burst-vs-noise-only,97531,-9,64,cav,0.453125
structured-burst-vs-noise-only,97531,-9,64,ed,0.401910
structured-burst-vs-noise-only,97531,-9,64,lzmsa-paper,0.428819
structured-burst-vs-noise-only,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.430122
structured-burst-vs-noise-only,97531,-9,128,cav,0.567491
structured-burst-vs-noise-only,97531,-9,128,ed,0.570747
structured-burst-vs-noise-only,97531,-9,128,lzmsa-paper,0.647569
structured-burst-vs-noise-only,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.478733
structured-burst-vs-noise-only,97531,-3,64,cav,0.639323
structured-burst-vs-noise-only,97531,-3,64,ed,0.615451
structured-burst-vs-noise-only,97531,-3,64,lzmsa-paper,0.421658
structured-burst-vs-noise-only,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.505208
structured-burst-vs-noise-only,97531,-3,128,cav,0.587674
structured-burst-vs-noise-only,97531,-3,128,ed,0.615017
structured-burst-vs-noise-only,97531,-3,128,lzmsa-paper,0.464844
structured-burst-vs-noise-only,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.470920
structured-burst-vs-noise-only,97531,0,64,cav,0.625000
structured-burst-vs-noise-only,97531,0,64,ed,0.644531
structured-burst-vs-noise-only,97531,0,64,lzmsa-paper,0.549479
structured-burst-vs-noise-only,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.484809
structured-burst-vs-noise-only,97531,0,128,cav,0.542969
structured-burst-vs-noise-only,97531,0,128,ed,0.635634
structured-burst-vs-noise-only,97531,0,128,lzmsa-paper,0.388021
structured-burst-vs-noise-only,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.440972
